LEMMA,PART OF SPEECH,DATE OF USE,FREQUENCY BAND NUMBER,DEFINITION,TYPE OF FORMATION,LANGUAGE OF ORIGIN,USAGE,OBSOLESCENCE,REGIONAL ENGLISH,SUBJECT,DOI,OED URL
repatrioted,adjective,1755,0,That has become patriotic again.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/3263085038,http://www.oed.com/dictionary/repatrioted_adj
turtle,verb,a1756-,3,intransitive. To catch or ‘fish’ for turtle.,conversion,,,In current use,,,https://doi.org/10.1093/OED/9174929686,http://www.oed.com/dictionary/turtle_v2
grimalkined,adjective,1756-,0,Vexed by a ‘grimalkin’.,derivative,,,In current use,,,https://doi.org/10.1093/OED/9081494417,http://www.oed.com/dictionary/grimalkined_adj
mortar-man,noun,1756-,3,†a. An apothecary (obsolete); b. Military a…,compound,,,In current use,,military,https://doi.org/10.1093/OED/4318189834,http://www.oed.com/dictionary/mortar-man_n
tariff,verb,1756-,4,transitive. To subject to a tariff-duty; to fix…,conversion,,,In current use,,economics and commerce,https://doi.org/10.1093/OED/1068124764,http://www.oed.com/dictionary/tariff_v
exulting,adjective,1757-,3,"That exults; exultant, triumphantly joyful.",derivative,,,In current use,,,https://doi.org/10.1093/OED/7232881691,http://www.oed.com/dictionary/exulting_adj
wind screen,noun,1757,0,A free-standing apparatus used for winnowing…,compound,,,Not in use,,,https://doi.org/10.1093/OED/7864158082,http://www.oed.com/dictionary/wind-screen_n2
criticality,noun,1758-,4,Nuclear Physics. The state of a nuclear reactor…,derivative,,,In current use,,,https://doi.org/10.1093/OED/6276167740,http://www.oed.com/dictionary/criticality_n
cup holder,noun,1759-,4,A receptacle for holding a cup. Now: esp. a…,compound,,,In current use,,,https://doi.org/10.1093/OED/6322101882,http://www.oed.com/dictionary/cup-holder_n
box head,noun,1760-,2,Originally Printing. An indented heading in a…,compound,,,In current use,,crafts and trades/printing and typography,https://doi.org/10.1093/OED/8162569452,http://www.oed.com/dictionary/box-head_n
heroine,verb,1760,0,transitive with it as object. To act or play the…,conversion,,,Not in use,,,https://doi.org/10.1093/OED/1135590715,http://www.oed.com/dictionary/heroine_v
hussarian,noun,1760,0,Apparently: a person born or living in Germany or…,blend,,,Not in use,,,https://doi.org/10.1093/OED/1008773623,http://www.oed.com/dictionary/hussarian_n
incumbentess,noun,1760-,0,A female incumbent or occupant.,derivative,,,In current use,,,https://doi.org/10.1093/OED/1135825840,http://www.oed.com/dictionary/incumbentess_n
junketaceous,adjective,1760,0,Given to junketing or merrymaking.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/7027089750,http://www.oed.com/dictionary/junketaceous_adj
modernicide,noun,1760,0,"A person who kills ‘moderns’ (see modernist, n. A.2).",compound,,,Not in use,,,https://doi.org/10.1093/OED/7310874365,http://www.oed.com/dictionary/modernicide_n
mud-quake,noun,1760,0,An earthquake occurring in muddy or marshy terrain.,compound,,,Not in use,,,https://doi.org/10.1093/OED/6808280599,http://www.oed.com/dictionary/mud-quake_n
pam-child,noun,1760,0,A male child.,compound,,,Not in use,,sport and leisure/games/cards,https://doi.org/10.1093/OED/9619845768,http://www.oed.com/dictionary/pam-child_n
pupilability,noun,1761,0,"Perhaps: confidentiality, confidential character…",derivative,,,Not in use,,,https://doi.org/10.1093/OED/1080235746,http://www.oed.com/dictionary/pupilability_n
scientintically,adverb,1761,0,With reference to the scientific study of colour.,variant,,humorous,Not in use,,,https://doi.org/10.1093/OED/6948062326,http://www.oed.com/dictionary/scientintically_adv
squirtical,adjective,1761-,0,Concerned with a squirt or syringe.,derivative,,,In current use,,,https://doi.org/10.1093/OED/6756290952,http://www.oed.com/dictionary/squirtical_adj
deparochiate,verb,1762,0,intransitive. To depart from one's own parish.,borrowing,,,Not in use,,,https://doi.org/10.1093/OED/1482617971,http://www.oed.com/dictionary/deparochiate_v
lackeyed,adjective,1762-,1,Attended by lackeys.,derivative,,,In current use,,,https://doi.org/10.1093/OED/1136075637,http://www.oed.com/dictionary/lackeyed_adj
leopardized,adjective,1762,0,A lion represented as passant guardant.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/9100339725,http://www.oed.com/dictionary/leopardized_adj
stem-house,noun,1762-,0,The ancestral mansion of a family.,compound,,,In current use,,,https://doi.org/10.1093/OED/5224072719,http://www.oed.com/dictionary/stem-house_n
horse-laugh,verb,1763-,2,(intransitive) to give vent to a horse-laugh or a…,conversion,,,In current use,,sport and leisure/horses and riding,https://doi.org/10.1093/OED/9114619083,http://www.oed.com/dictionary/horse-laugh_v
mononeirist,noun,1763,0,A person who has only ever dreamed once.,borrowing,,,Not in use,,,https://doi.org/10.1093/OED/1077676857,http://www.oed.com/dictionary/mononeirist_n
North-Britonize,verb,1764,0,"transitive. To publish in The North Briton, esp…",proper name,,,Not in use,,,https://doi.org/10.1093/OED/8738452515,http://www.oed.com/dictionary/north-britonize_v
statico-physiological,adjective,1764,0,Concerned with both statics and physiology in…,compound,,,Not in use,,"sciences/medicine/physiology, sciences/physical sciences/physics/dynamics",https://doi.org/10.1093/OED/1078725609,http://www.oed.com/dictionary/statico-physiological_adj
sweetmeat,verb,1764-,3,transitive. To ornament or decorate (something)…,conversion,,,In current use,,,https://doi.org/10.1093/OED/3714391264,http://www.oed.com/dictionary/sweetmeat_v
iracundulous,adjective,1765-,0,Inclined to anger; irascible.,borrowing,,,In current use,,,https://doi.org/10.1093/OED/8941595560,http://www.oed.com/dictionary/iracundulous_adj
liberalize,verb,1765-,5,transitive. Economics. To remove or loosen…,derivative,,,In current use,,,https://doi.org/10.1093/OED/6556523821,http://www.oed.com/dictionary/liberalize_v
lilac-tide,noun,1765-,1,The time when lilac is in bloom.,compound,,,In current use,,,https://doi.org/10.1093/OED/3431027977,http://www.oed.com/dictionary/lilac-tide_n
mariturient,adjective,1765,0,Eager to marry.,borrowing,,,Not in use,,,https://doi.org/10.1093/OED/8196986292,http://www.oed.com/dictionary/mariturient_adj
sweet sixteen,noun,?1765-,2,Originally and chiefly North American. A girl's…,compound,,,In current use,,,https://doi.org/10.1093/OED/5359954290,http://www.oed.com/dictionary/sweet-sixteen_n
mobilar,adjective,1766,0,Relating to the mob.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/8709035044,http://www.oed.com/dictionary/mobilar_adj
mobilarity,noun,1766,0,"The fact or condition of being favoured, admired…",derivative,,,Not in use,,,https://doi.org/10.1093/OED/1001918614,http://www.oed.com/dictionary/mobilarity_n
tutorial,"adjective, noun",1766-,5,Of or pertaining to a teacher or instructor; esp…,borrowing,,,In current use,,education,https://doi.org/10.1093/OED/8622357245,http://www.oed.com/dictionary/tutorial_adj
viricide,noun,1766-,2,The slaying of men or of husbands.,borrowing,,,In current use,,,https://doi.org/10.1093/OED/1263715735,http://www.oed.com/dictionary/viricide_n1
intolerate,verb,1767,0,transitive. Not to tolerate; to treat with intolerance.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/3586812419,http://www.oed.com/dictionary/intolerate_v
rapster,noun,1767-,1,"colloquial (originally U.S.). = rapper, n. II.6b.",derivative,,colloquial and slang,In current use,North American English/U.S. English,arts/performing arts/music,https://doi.org/10.1093/OED/1082555518,http://www.oed.com/dictionary/rapster_n
sniveldom,noun,1767-,0,A slight cold causing one to snivel.,derivative,,,In current use,,,https://doi.org/10.1093/OED/8251582634,http://www.oed.com/dictionary/sniveldom_n
luxuriety,noun,a1768,0,Luxuriance.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/4298097004,http://www.oed.com/dictionary/luxuriety_n
indifferencist,noun,1768-,0,One who maintains the indifference or…,derivative,,,In current use,,,https://doi.org/10.1093/OED/8931034053,http://www.oed.com/dictionary/indifferencist_n
laddess,noun,1768-,1,"A girl, lass.",derivative,,,In current use,,,https://doi.org/10.1093/OED/9045060519,http://www.oed.com/dictionary/laddess_n
mothersickness,noun,1768-,0,"Hysteria. Cf. mothersick, adj. 1.",compound,,,In current use,,sciences/medicine/psychology/psychiatry,https://doi.org/10.1093/OED/4913407632,http://www.oed.com/dictionary/mothersickness_n
teatabellically,adverb,1768,0,"At the tea-table, in familiar conversation at tea.",,,humorous,Not in use,,,https://doi.org/10.1093/OED/5141619752,http://www.oed.com/dictionary/teatabellically_adv
totipresent,adjective,1768,0,Present throughout the whole of a space.,borrowing,,,Not in use,,,https://doi.org/10.1093/OED/4949385354,http://www.oed.com/dictionary/totipresent_adj
benefactorate,verb,1769-,0,To act the benefactor to; to benefaction.,derivative,,,In current use,,,https://doi.org/10.1093/OED/1077442464,http://www.oed.com/dictionary/benefactorate_v
stealage,noun,1769-,1,Losses due to stealing.,derivative,,,In current use,,,https://doi.org/10.1093/OED/5298191984,http://www.oed.com/dictionary/stealage_n
deorsum,adverb,1770-,3,Downward.,borrowing,,,In current use,,,https://doi.org/10.1093/OED/3219197774,http://www.oed.com/dictionary/deorsum_adv
harmoniac,adjective,1771,0,"Relating to harmony, or to the cultivation of…",borrowing,,,Not in use,,arts/performing arts/music,https://doi.org/10.1093/OED/2265226710,http://www.oed.com/dictionary/harmoniac_adj
shackledom,noun,1771-,0,The condition of being bound with shackles. (In…,derivative,,,In current use,,,https://doi.org/10.1093/OED/3746532661,http://www.oed.com/dictionary/shackledom_n
