LEMMA,PART OF SPEECH,DATE OF USE,FREQUENCY BAND NUMBER,DEFINITION,TYPE OF FORMATION,LANGUAGE OF ORIGIN,USAGE,OBSOLESCENCE,REGIONAL ENGLISH,SUBJECT,DOI,OED URL
gremmie,noun,1943-,2,Surfing slang. A young or inexperienced surfer…,shortening,,colloquial and slang,In current use,,sport and leisure/sport/water sports/surfing,https://doi.org/10.1093/OED/4603598091,http://www.oed.com/dictionary/gremmie_n
blue-domeism,noun,1944-,0,The doctrine of a blue-domeist; the preference…,compound,,,In current use,,,https://doi.org/10.1093/OED/4196113705,http://www.oed.com/dictionary/blue-domeism_n
parapants,noun,1944-,0,Women's knickers or underpants made from…,compound,,humorous,In current use,,"crafts and trades/costume, sport and leisure/sport/parachuting",https://doi.org/10.1093/OED/3472506082,http://www.oed.com/dictionary/parapants_n
Pentagonese,noun,1944-,2,The euphemistic or cryptic style of language…,derivative,,,In current use,,,https://doi.org/10.1093/OED/1250787767,http://www.oed.com/dictionary/pentagonese_n
hyenoid,adjective,1945-,1,"= hyeniform, adj.",derivative,,,In current use,,sciences/life sciences/animals,https://doi.org/10.1093/OED/1061055390,http://www.oed.com/dictionary/hyenoid_adj
broken heart syndrome,noun,1946-,3,"a. Depression, low spirits, or despondency…",compound,,,In current use,,sciences/medicine/pathology,https://doi.org/10.1093/OED/5543109642,http://www.oed.com/dictionary/broken-heart-syndrome_n
only-only,noun,1946-,0,on one's only-only: alone; on one's own.,compound,,,In current use,,,https://doi.org/10.1093/OED/1052155522,http://www.oed.com/dictionary/only-only_n
woundward,adjective,1946-,0,Towards wounds or wounding.,derivative,,,In current use,,,https://doi.org/10.1093/OED/4144003689,http://www.oed.com/dictionary/woundward_adj
ingressant,adjective,1947-,0,"Entering, in-going.",borrowing,,,In current use,,,https://doi.org/10.1093/OED/8861302153,http://www.oed.com/dictionary/ingressant_adj
motted,adjective,1947-,1,"Probably: having a motte (motte, n.¹).",derivative,,,In current use,,,https://doi.org/10.1093/OED/4322779782,http://www.oed.com/dictionary/motted_adj
pneumatic-drilled,adjective,1947-,0,Equipped with a pneumatic drill (figurative in…,compound,,,In current use,,,https://doi.org/10.1093/OED/8260774815,http://www.oed.com/dictionary/pneumatic-drilled_adj
pseudodominant,"noun, adjective",1947-,1,Genetics. A recessive allele manifesting as a…,compound,,,In current use,,sciences/life sciences/genetics,https://doi.org/10.1093/OED/4912073930,http://www.oed.com/dictionary/pseudodominant_n
upgiven,adjective,1947-,1,"Surrendered, resigned. Cf. ghost, n. A.I.1.",derivative,,poetic and literary,In current use,,,https://doi.org/10.1093/OED/5124933397,http://www.oed.com/dictionary/upgiven_adj
vert,adjective,1947-,2,Turning.,conversion,,poetic and literary,In current use,,,https://doi.org/10.1093/OED/1106416979,http://www.oed.com/dictionary/vert_adj2
podium,verb,1948-,2,"intransitive. Sport. To finish in first, second…",conversion,,,In current use,,sport and leisure/sport,https://doi.org/10.1093/OED/2528620789,http://www.oed.com/dictionary/podium_v
home computer,noun,1949-,4,a. A computer located at a military centre of…,compound,,,In current use,,"military, technology/computing",https://doi.org/10.1093/OED/2190662316,http://www.oed.com/dictionary/home-computer_n
omnivicarious,adjective,1949-,0,That may be substituted for anything else.,compound,,,In current use,,,https://doi.org/10.1093/OED/8994331695,http://www.oed.com/dictionary/omnivicarious_adj
trichomaniac,noun,1949-,0,A hair fetishist.,compound,,,In current use,,,https://doi.org/10.1093/OED/1499580611,http://www.oed.com/dictionary/trichomaniac_n
wheygoose,noun,1949-,0,Used as a term of opprobrium.,compound,,derogatory,In current use,,,https://doi.org/10.1093/OED/8212130157,http://www.oed.com/dictionary/wheygoose_n
accusativity,noun,1950-,2,The state or condition of being accusative.,derivative,,,In current use,,language/linguistics/grammar,https://doi.org/10.1093/OED/6198256353,http://www.oed.com/dictionary/accusativity_n
magnoperator,noun,1950-,0,(Probably) a person involved in great schemes or…,derivative,,,In current use,,,https://doi.org/10.1093/OED/1173482623,http://www.oed.com/dictionary/magnoperator_n
cragmanship,noun,1951-,0,Expertise in rock climbing.,derivative,,,In current use,,sport and leisure/sport/climbing,https://doi.org/10.1093/OED/7716049834,http://www.oed.com/dictionary/cragmanship_n
dispersuade,verb,1951-,1,"= dissuade, v. 3.",derivative,,,In current use,,,https://doi.org/10.1093/OED/4123210966,http://www.oed.com/dictionary/dispersuade_v
nefie,noun,1951-,1,"As a form of address: = neef, n.",borrowing,,,In current use,African English/South African English,,https://doi.org/10.1093/OED/2725600802,http://www.oed.com/dictionary/nefie_n
saccharhinoceros,noun,1951-,0,A lumbering person with an excessively effusive…,blend,,,In current use,,,https://doi.org/10.1093/OED/6609755233,http://www.oed.com/dictionary/saccharhinoceros_n
turnturtle,adjective,1951-,0,That is the place of or setting for one's death…,compound,,poetic and literary,In current use,,,https://doi.org/10.1093/OED/2591020182,http://www.oed.com/dictionary/turnturtle_adj
larked,adjective,1952-,1,"With larks overhead, noisy with the song of larks.",derivative,,poetic and literary,In current use,,sciences/life sciences/animals/birds,https://doi.org/10.1093/OED/5117468955,http://www.oed.com/dictionary/larked_adj
metrify,verb,1952-,2,"intransitive. = metricate, v. 1.",derivative,,,In current use,,,https://doi.org/10.1093/OED/4465335818,http://www.oed.com/dictionary/metrify_v2
mousetrap word,noun,1952-,0,A misleading or deceptive word.,compound,,,In current use,,,https://doi.org/10.1093/OED/4655622335,http://www.oed.com/dictionary/mousetrap-word_n
news-dick,noun,a1953-,0,A newspaper reporter.,compound,,,In current use,,,https://doi.org/10.1093/OED/6239978110,http://www.oed.com/dictionary/news-dick_n
puss,verb,a1953-,2,intransitive. To move or act like a cat; to move…,conversion,,,In current use,,,https://doi.org/10.1093/OED/1030247297,http://www.oed.com/dictionary/puss_v
typhoon,verb,a1953-,2,(transitive) to batter with the force of a typhoon.,conversion,,,In current use,,,https://doi.org/10.1093/OED/7396668737,http://www.oed.com/dictionary/typhoon_v
murdermongeress,noun,1957-,0,A female writer of murder stories.,derivative,,,In current use,,arts/literature,https://doi.org/10.1093/OED/8058094125,http://www.oed.com/dictionary/murdermongeress_n
rhymsterette,noun,1957-,0,A female rhymer.,derivative,,,In current use,,arts/literature,https://doi.org/10.1093/OED/4697327684,http://www.oed.com/dictionary/rhymsterette_n
sarcomic,adjective,1958-,0,"= cancerous, adj. figurative.",derivative,,,In current use,,sciences/medicine/pathology,https://doi.org/10.1093/OED/4483217318,http://www.oed.com/dictionary/sarcomic_adj
spadelet,noun,1959-,0,offensive. A black child.,derivative,,offensive,In current use,,,https://doi.org/10.1093/OED/9495887095,http://www.oed.com/dictionary/spadelet_n
motor-bicycle,verb,1960-,3,transitive. To while (time) away on a motorcycle.,conversion,,,In current use,,transport/motoring/motorcycling,https://doi.org/10.1093/OED/1420343790,http://www.oed.com/dictionary/motor-bicycle_v
pedagoguette,noun,1960-,0,A schoolmistress.,derivative,,,In current use,,education,https://doi.org/10.1093/OED/1607924625,http://www.oed.com/dictionary/pedagoguette_n
twinkle-dress,noun,1960-,0,A sparkling party dress.,compound,,poetic and literary,In current use,,crafts and trades/costume,https://doi.org/10.1093/OED/3214826089,http://www.oed.com/dictionary/twinkle-dress_n
woofy,adjective,1960-,1,? Talkative.,derivative,,,In current use,,,https://doi.org/10.1093/OED/7200930043,http://www.oed.com/dictionary/woofy_adj3
non-ism,noun,1961-,0,The practice of abstaining from substances and…,derivative,,,In current use,North American English/U.S. English,,https://doi.org/10.1093/OED/1194124159,http://www.oed.com/dictionary/non-ism_n
randy,verb,1961-,1,transitive. To make (a person) lustful.,conversion,,,In current use,,,https://doi.org/10.1093/OED/2328560206,http://www.oed.com/dictionary/randy_v3
Georgiana,noun,1962-,2,Buildings or architecture of the Georgian period…,proper name,,,In current use,,"arts/visual arts, manufacturing and industry/building/architecture",https://doi.org/10.1093/OED/1046333248,http://www.oed.com/dictionary/georgiana_n
raisonneur,verb,1963-,2,intransitive. To act as a raisonneur.,conversion,,,In current use,,,https://doi.org/10.1093/OED/4258180337,http://www.oed.com/dictionary/raisonneur_v
schlimazel,verb,1963-,1,transitive. To make a schlimazel of (a person)…,conversion,,,In current use,,,https://doi.org/10.1093/OED/7049834376,http://www.oed.com/dictionary/schlimazel_v
Bermuda Triangle,noun,1964-,2,A roughly triangular area of the western Atlantic…,proper name,,,In current use,,transport/aviation,https://doi.org/10.1093/OED/9495481701,http://www.oed.com/dictionary/bermuda-triangle_n
phylactology,noun,1966-,0,Counter-espionage.,borrowing,,,In current use,,military/espionage,https://doi.org/10.1093/OED/8318544645,http://www.oed.com/dictionary/phylactology_n
plus ça change-ness,noun,1966-,0,The quality of remaining fundamentally the same…,derivative,,,In current use,,,https://doi.org/10.1093/OED/6475230493,http://www.oed.com/dictionary/plus-ca-change-ness_n
