lemma,crossword_form,length,pos,date,first_year,band,formation,definition,evidence,url
handed,HANDED,6,adjective,Old English-,1000,4,derivative,Having a hand or hands of a specified kind; esp…,printed date range,http://www.oed.com/dictionary/handed_adj
head,HEAD,4,verb,Old English-,1000,6,conversion,transitive. To go in front or at the head of; to…,printed date range,http://www.oed.com/dictionary/head_v
hide,HIDE,4,noun,Old English-,1000,4,inherited,"A measure of land in Old English times, continued…",printed date range,http://www.oed.com/dictionary/hide_n2
hireling,HIRELING,8,"noun, adjective",Old English-,1000,4,inherited,One who serves for hire or wages; a hired…,printed date range,http://www.oed.com/dictionary/hireling_n
hope,HOPE,4,verb,Old English-,1000,6,inherited,intransitive. To entertain expectation of…,printed date range,http://www.oed.com/dictionary/hope_v
how,HOW,3,"adverb, interjection, noun",Old English-,1000,7,inherited,In what way or manner; by what means. In direct…,printed date range,http://www.oed.com/dictionary/how_adv
idol,IDOL,4,noun,Old English-,1000,5,borrowing,"A person who is highly revered, admired, beloved…",printed date range,http://www.oed.com/dictionary/idol_n
imp,IMP,3,verb,Old English-,1000,3,inherited,Falconry. To engraft feathers in… To imp a wing…,printed date range,http://www.oed.com/dictionary/imp_v
inner,INNER,5,"adjective, noun",Old English-,1000,6,inherited,"Situated more within; more or… literal, of…",printed date range,http://www.oed.com/dictionary/inner_adj
lame,LAME,4,"adjective, adverb",Old English-,1000,5,inherited,Of a person or animal. Experiencing physical…,printed date range,http://www.oed.com/dictionary/lame_adj
leathern,LEATHERN,8,adjective,Old English-,1000,4,derivative,Consisting or made of leather. leathern…,printed date range,http://www.oed.com/dictionary/leathern_adj
life,LIFE,4,noun,Old English-,1000,7,inherited,"The condition, quality, or fact of being a living…",printed date range,http://www.oed.com/dictionary/life_n
marker,MARKER,6,noun,Old English-,1000,6,derivative,An object or indicator that acts as a guide to…,printed date range,http://www.oed.com/dictionary/marker_n
milk,MILK,4,verb,Old English-,1000,5,inherited,transitive. To draw milk from (a cow or other…,printed date range,http://www.oed.com/dictionary/milk_v
miss,MISS,4,noun,Old English-,1000,4,borrowing,"Disadvantage or regret caused by loss, absence…",printed date range,http://www.oed.com/dictionary/miss_n1
monk,MONK,4,verb,Old English-,1000,3,conversion,"intransitive, and transitive with it as object…",printed date range,http://www.oed.com/dictionary/monk_v
otherwise,OTHERWISE,9,"noun, adverb, adjective",Old English-,1000,6,compound,In another case; in other circumstances; if not; else.,printed date range,http://www.oed.com/dictionary/otherwise_n
overhear,OVERHEAR,8,verb,Old English-,1000,5,inherited,"transitive. To hear (words spoken, a person…",printed date range,http://www.oed.com/dictionary/overhear_v
pound,POUND,5,noun,Old English-,1000,6,inherited,A unit of weight and mass originally derived from…,printed date range,http://www.oed.com/dictionary/pound_n1
pull,PULL,4,verb,Old English-,1000,6,uncertain,transitive. To exert upon (something) a force…,printed date range,http://www.oed.com/dictionary/pull_v
rear,REAR,4,verb,Old English-,1000,5,inherited,transitive. To bring up (a child) to maturity; to…,printed date range,http://www.oed.com/dictionary/rear_v1
red,RED,3,"adjective, noun",Old English-,1000,6,inherited,"Designating the colour of blood, a ruby, a ripe…",printed date range,http://www.oed.com/dictionary/red_adj
row,ROW,3,verb,Old English-,1000,5,inherited,transitive. To propel (a boat or other vessel) by…,printed date range,http://www.oed.com/dictionary/row_v1
sake,SAKE,4,noun,Old English-,1000,6,inherited,Out of consideration for; on account of one's…,printed date range,http://www.oed.com/dictionary/sake_n1
seam,SEAM,4,noun,Old English-,1000,5,inherited,The junction made by sewing together the edges of…,printed date range,http://www.oed.com/dictionary/seam_n1
sedge,SEDGE,5,noun,Old English-,1000,4,inherited,A name for various coarse grassy… As the name of…,printed date range,http://www.oed.com/dictionary/sedge_n1
see,SEE,3,verb,Old English-,1000,8,inherited,To perceive with the eyes (a… transitive. With…,printed date range,http://www.oed.com/dictionary/see_v
set,SET,3,verb,Old English-,1000,7,inherited,"To put or place, cause to be, lie, rest, or…",printed date range,http://www.oed.com/dictionary/set_v1
sevenfold,SEVENFOLD,9,"adjective, noun, adverb",Old English-,1000,4,inherited,Seven times as great or numerous; grown or…,printed date range,http://www.oed.com/dictionary/sevenfold_adj
sew,SEW,3,verb,Old English-,1000,5,inherited,"transitive. To fasten, attach, or join (pieces of…",printed date range,http://www.oed.com/dictionary/sew_v1
shade,SHADE,5,noun,Old English-,1000,6,variant,Cover afforded by the interposition of some…,printed date range,http://www.oed.com/dictionary/shade_n
shielded,SHIELDED,8,adjective,Old English-,1000,4,derivative,technical. Protected by a ‘shield’.,printed date range,http://www.oed.com/dictionary/shielded_adj
shot,SHOT,4,noun,Old English-,1000,6,inherited,"An act of shooting, an individual discharge of a…",printed date range,http://www.oed.com/dictionary/shot_n1
shove,SHOVE,5,verb,Old English-,1000,5,inherited,transitive. To push (a person) with one's body or…,printed date range,http://www.oed.com/dictionary/shove_v1
sick,SICK,4,verb,Old English-,1000,3,conversion,intransitive. To act as a sick-nurse.,printed date range,http://www.oed.com/dictionary/sick_v1
so,SO,2,"adverb, conjunction, adjective",Old English-,1000,8,inherited,With forward reference: in this way; thus; as follows.,printed date range,http://www.oed.com/dictionary/so_adv
soul,SOUL,4,verb,Old English-,1000,4,conversion,intransitive. English regional (chiefly northern…,printed date range,http://www.oed.com/dictionary/soul_v
stand,STAND,5,noun,Old English-,1000,6,conversion,A base or elevated surface on which something…,printed date range,http://www.oed.com/dictionary/stand_n1
standing,STANDING,8,"adjective, noun",Old English-,1000,6,derivative,"Of a person, animal, etc.: that is in an upright…",printed date range,http://www.oed.com/dictionary/standing_adj
starred,STARRED,7,adjective,Old English-,1000,5,derivative,Marked by a star (in various senses). Of a horse…,printed date range,http://www.oed.com/dictionary/starred_adj
steal,STEAL,5,verb,Old English-,1000,6,inherited,transitive. To take away dishonestly (portable…,printed date range,http://www.oed.com/dictionary/steal_v1
steeled,STEELED,7,adjective,Old English-,1000,4,derivative,"Made of steel, or with the outer surface, edge or…",printed date range,http://www.oed.com/dictionary/steeled_adj
sting,STING,5,verb,Old English-,1000,5,inherited,"‘To pierce or wound with a point darted out, as…",printed date range,http://www.oed.com/dictionary/sting_v1
stirrup,STIRRUP,7,noun,Old English-,1000,5,compound,Either of a pair of supports for a rider's foot…,printed date range,http://www.oed.com/dictionary/stirrup_n
stride,STRIDE,6,noun,Old English-,1000,5,inherited,An act of striding; a long step in walking…,printed date range,http://www.oed.com/dictionary/stride_n
stride,STRIDE,6,verb,Old English-,1000,5,inherited,To walk with long or extended steps; to stalk.,printed date range,http://www.oed.com/dictionary/stride_v
sward,SWARD,5,noun,Old English-,1000,4,inherited,Without qualification: = 2b.,printed date range,http://www.oed.com/dictionary/sward_n
thaw,THAW,4,verb,Old English-,1000,5,inherited,"intransitive. Of ice, snow, or other substance…",printed date range,http://www.oed.com/dictionary/thaw_v
thereby,THEREBY,7,adverb,Old English-,1000,6,compound,"By that; by means of, or because of, that…",printed date range,http://www.oed.com/dictionary/thereby_adv
title,TITLE,5,verb,Old English-,1000,5,borrowing,"transitive. To give a title to (a book, poem…",printed date range,http://www.oed.com/dictionary/title_v
together,TOGETHER,8,"adverb, preposition, noun, adjective",Old English-,1000,7,inherited,"Into one gathering, company, mass, or body.",printed date range,http://www.oed.com/dictionary/together_adv
township,TOWNSHIP,8,noun,Old English-,1000,5,derivative,In South Africa: an urban or peri-urban area…,printed date range,http://www.oed.com/dictionary/township_n
unwisdom,UNWISDOM,8,noun,Old English-,1000,3,inherited,"Lack or absence of wisdom; ignorance, folly, stupidity.",printed date range,http://www.oed.com/dictionary/unwisdom_n
wade,WADE,4,verb,Old English-,1000,5,inherited,To walk through water or any liquid or soft…,printed date range,http://www.oed.com/dictionary/wade_v
wane,WANE,4,verb,Old English-,1000,5,inherited,Of the moon: To undergo the periodical decrease…,printed date range,http://www.oed.com/dictionary/wane_v
warlock,WARLOCK,7,"noun, adjective",Old English-,1000,4,inherited,Originally Scottish and English regional…,printed date range,http://www.oed.com/dictionary/warlock_n1
warp,WARP,4,noun,Old English-,1000,5,inherited,"A twist or bending, esp. in wood not properly…",printed date range,http://www.oed.com/dictionary/warp_n1
watch,WATCH,5,noun,Old English-,1000,6,inherited,"A timepiece, usually portable and worn on the…",printed date range,http://www.oed.com/dictionary/watch_n
waterway,WATERWAY,8,noun,Old English-,1000,5,compound,A route for travel or transport by water; a…,printed date range,http://www.oed.com/dictionary/waterway_n
wax,WAX,3,noun,Old English-,1000,5,inherited,A substance (also distinctively called beeswax…,printed date range,http://www.oed.com/dictionary/wax_n1
waxen,WAXEN,5,adjective,Old English-,1000,4,derivative,transferred and figurative. As if… With reference…,printed date range,http://www.oed.com/dictionary/waxen_adj1
weed,WEED,4,verb,Old English-,1000,5,inherited,"transitive. To clear (land, a crop, etc.) of…",printed date range,http://www.oed.com/dictionary/weed_v
welcome,WELCOME,7,"noun, adjective, interjection",Old English-,1000,6,inherited,"Of a person: Acceptable as a visitor, companion…",printed date range,http://www.oed.com/dictionary/welcome_n1
which,WHICH,5,"adjective, pronoun",Old English-,1000,8,inherited,"In predicative use: of what kind, quality, or…",printed date range,http://www.oed.com/dictionary/which_adj
whom,WHOM,4,pronoun,Old English-,1000,7,inherited,As indirect object (in Old English… In direct…,printed date range,http://www.oed.com/dictionary/whom_pron
will,WILL,4,noun,Old English-,1000,6,inherited,The faculty by which a person exercises his or…,printed date range,http://www.oed.com/dictionary/will_n1
wind,WIND,4,verb,Old English-,1000,6,inherited,"Of a road, river, etc.: to follow… intransitive.",printed date range,http://www.oed.com/dictionary/wind_v1
wonder,WONDER,6,verb,Old English-,1000,6,inherited,Usually with clause: To ask oneself in…,printed date range,http://www.oed.com/dictionary/wonder_v
word,WORD,4,verb,Old English-,1000,5,conversion,To express in or put into words… transitive. With…,printed date range,http://www.oed.com/dictionary/word_v
wile,WILE,4,noun,1154-,1154,4,borrowing,"A crafty, cunning, or deceitful trick; a sly…",printed date range,http://www.oed.com/dictionary/wile_n
standard,STANDARD,8,"noun, adjective, interjection",?a1160-,1160,7,borrowing,"A rule, principle, criterion, or measure by which…",printed date range,http://www.oed.com/dictionary/standard_n
stone,STONE,5,verb,c1175-,1175,5,conversion,"transitive. To throw stones at, pelt with stones…",printed date range,http://www.oed.com/dictionary/stone_v
virgin,VIRGIN,6,"noun, adjective",c1175-,1175,5,borrowing,"Not yet touched or handled, or used for any…",printed date range,http://www.oed.com/dictionary/virgin_n
want,WANT,4,verb,c1175-,1175,7,borrowing,transitive. With infinitive as object. To wish or…,printed date range,http://www.oed.com/dictionary/want_v
warmth,WARMTH,6,noun,c1175-,1175,6,inherited,A moderately hot or pleasantly heated state of…,printed date range,http://www.oed.com/dictionary/warmth_n
tenfold,TENFOLD,7,"adjective, adverb",c1200-,1200,4,inherited,Ten times as great or as much; ten times…,printed date range,http://www.oed.com/dictionary/tenfold_adj
wilderness,WILDERNESS,10,noun,c1200-,1200,5,derivative,(With article or other defining word) A wild or…,printed date range,http://www.oed.com/dictionary/wilderness_n
chapel,CHAPEL,6,noun,c1225-,1225,5,borrowing,Originally: any place for Christian worship other…,printed date range,http://www.oed.com/dictionary/chapel_n
chapter,CHAPTER,7,noun,?c1225-,1225,7,borrowing,A main division or section of a book or (later) a…,printed date range,http://www.oed.com/dictionary/chapter_n
cross,CROSS,5,noun,c1225-,1225,6,borrowing,"Any object, figure, or mark formed by two or more…",printed date range,http://www.oed.com/dictionary/cross_n
figure,FIGURE,6,noun,?c1225-,1225,7,borrowing,A numerical character or symbol; esp. any of the…,printed date range,http://www.oed.com/dictionary/figure_n
hardy,HARDY,5,verb,c1225-,1225,2,conversion,transitive. To make hardy or robust; (also) to…,printed date range,http://www.oed.com/dictionary/hardy_v
ladyship,LADYSHIP,8,noun,c1225-,1225,4,derivative,Chiefly with possessive adjective: a title of…,printed date range,http://www.oed.com/dictionary/ladyship_n
lusty,LUSTY,5,adjective,a1225-,1225,4,derivative,Full of healthy vigour. Of persons and animals…,printed date range,http://www.oed.com/dictionary/lusty_adj
matter,MATTER,6,noun,?c1225-,1225,7,borrowing,"An event, circumstance, fact, question, state or…",printed date range,http://www.oed.com/dictionary/matter_n1
meekship,MEEKSHIP,8,noun,c1225-,1225,0,derivative,As a mock title for a (supposedly) meek person…,printed date range,http://www.oed.com/dictionary/meekship_n
standing,STANDING,8,noun,?c1225-,1225,5,derivative,"High esteem, rank, or status. Later (also) more…",printed date range,http://www.oed.com/dictionary/standing_n1
windmill,WINDMILL,8,"noun, adjective",c1230-,1230,5,compound,A structure that harnesses the power of the wind…,printed date range,http://www.oed.com/dictionary/windmill_n
bush,BUSH,4,"noun, adjective",?c1250-,1250,6,inherited,A perennial woody plant that is smaller than a…,printed date range,http://www.oed.com/dictionary/bush_n1
stump,STUMP,5,verb,c1250-,1250,4,conversion,(Originally U.S.) To cause to be at a loss; to…,printed date range,http://www.oed.com/dictionary/stump_v1
truth,TRUTH,5,verb,?c1250-,1250,3,conversion,intransitive. U.S. colloquial and regional. To…,printed date range,http://www.oed.com/dictionary/truth_v
joy,JOY,3,verb,c1260-,1260,4,borrowing,intransitive. To feel or manifest joy; to be…,printed date range,http://www.oed.com/dictionary/joy_v
wire-drawer,WIREDRAWER,10,noun,1265-,1265,2,compound,A person whose job is to draw metal into wire…,printed date range,http://www.oed.com/dictionary/wire-drawer_n
dote,DOTE,4,noun,a1275-,1275,3,conversion,"A foolish, incompetent, or slow-witted person.",printed date range,http://www.oed.com/dictionary/dote_n1
flock,FLOCK,5,verb,c1275-,1275,5,conversion,intransitive (rarely †reflexive). To gather in a…,printed date range,http://www.oed.com/dictionary/flock_v1
murdrum,MURDRUM,7,noun,1290-,1290,2,borrowing,From the 11th to the 15th cent.: a fine imposed…,printed date range,http://www.oed.com/dictionary/murdrum_n
entice,ENTICE,6,verb,1297-,1297,5,borrowing,"To allure, attract by the offer of pleasure or…",printed date range,http://www.oed.com/dictionary/entice_v
woodwork,WOODWORK,8,noun,1297-,1297,4,compound,"Wood that has been worked, carved, shaped, etc…",printed date range,http://www.oed.com/dictionary/woodwork_n
chair,CHAIR,5,noun,c1300-,1300,6,borrowing,"A seat for one person, typically movable…",printed date range,http://www.oed.com/dictionary/chair_n1
chaser,CHASER,6,noun,a1300-,1300,4,borrowing,One who pursues (esp. with hostile intent).,printed date range,http://www.oed.com/dictionary/chaser_n1
course,COURSE,6,"noun, adverb",c1300-,1300,7,borrowing,"A series of lectures, lessons, or instructional…",printed date range,http://www.oed.com/dictionary/course_n1
engine,ENGINE,6,verb,c1300-,1300,4,borrowing,transitive. To equip (a vessel) with an engine or…,printed date range,http://www.oed.com/dictionary/engine_v
land,LAND,4,verb,a1300-,1300,6,conversion,To bring to land; to set on shore; to disembark.,printed date range,http://www.oed.com/dictionary/land_v
mercurial,MERCURIAL,9,"noun, adjective",a1300-,1300,4,borrowing,"Of a person: having a lively, volatile, or…",printed date range,http://www.oed.com/dictionary/mercurial_n
milch,MILCH,5,adjective,c1300-,1300,4,uncertain,"Of an animal, originally and… Bred or kept to…",printed date range,http://www.oed.com/dictionary/milch_adj
mount,MOUNT,5,verb,c1300-,1300,6,borrowing,"transitive. To raise in honour, estimation…",printed date range,http://www.oed.com/dictionary/mount_v
out and out,OUTANDOUT,9,"adverb, adjective, noun",c1300-,1300,4,compound,"Thoroughly, completely, entirely; downright.",printed date range,http://www.oed.com/dictionary/out-and-out_adv
subtle,SUBTLE,6,verb,c1300-,1300,3,borrowing,transitive. Chiefly U.S. To make more faint…,printed date range,http://www.oed.com/dictionary/subtle_v
Templar,TEMPLAR,7,noun,c1300-,1300,5,borrowing,A member of a military and religious order…,printed date range,http://www.oed.com/dictionary/templar_n
vicar,VICAR,5,noun,a1300-,1300,5,borrowing,Originally: a person ministering to a parish in…,printed date range,http://www.oed.com/dictionary/vicar_n
whence,WHENCE,6,"adverb, conjunction",a1300-,1300,5,derivative,From what place? In a direct question.,printed date range,http://www.oed.com/dictionary/whence_adv
fame,FAME,4,verb,1303-,1303,5,borrowing,"To report (a person or thing) as, for, to be (so…",printed date range,http://www.oed.com/dictionary/fame_v1
flourishing,FLOURISHING,11,noun,1303-,1303,4,derivative,"The action of flourish, v. in various senses.",printed date range,http://www.oed.com/dictionary/flourishing_n
trail,TRAIL,5,verb,1303-,1303,5,inherited,To draw behind one; to drag along upon the ground…,printed date range,http://www.oed.com/dictionary/trail_v1
birder,BIRDER,6,noun,1308-,1308,4,derivative,Originally U.S. A birdwatcher.,printed date range,http://www.oed.com/dictionary/birder_n
increase,INCREASE,8,verb,c1315-,1315,7,borrowing,"To become greater in size, amount, duration, or…",printed date range,http://www.oed.com/dictionary/increase_v
citizen,CITIZEN,7,"noun, adjective",a1325-,1325,6,borrowing,A legally recognized subject or national of a…,printed date range,http://www.oed.com/dictionary/citizen_n
colour,COLOUR,6,verb,a1325-,1325,6,borrowing,transitive. To impart colour to; to impregnate…,printed date range,http://www.oed.com/dictionary/colour_v
favourable,FAVOURABLE,10,adjective,a1325-,1325,6,borrowing,"Advantageous, helpful; beneficial for one's…",printed date range,http://www.oed.com/dictionary/favourable_adj
lard,LARD,4,verb,a1325-,1325,4,borrowing,transitive. Cookery. To prepare (lean meat…,printed date range,http://www.oed.com/dictionary/lard_v
Martinmas,MARTINMAS,9,noun,c1325-,1325,3,proper name,"(The date of) the feast of St Martin, 11 November.",printed date range,http://www.oed.com/dictionary/martinmas_n
reasonable,REASONABLE,10,"adjective, noun, adverb",a1325-,1325,6,borrowing,"Of a person: sensible, sane; having sound…",printed date range,http://www.oed.com/dictionary/reasonable_adj
rocker,ROCKER,6,noun,a1325-,1325,5,derivative,A person who performs rock music; (esp. in early…,printed date range,http://www.oed.com/dictionary/rocker_n1
valiant,VALIANT,7,"adjective, noun",a1325-,1325,5,borrowing,"Of an action, deed, etc.: characterized by or…",printed date range,http://www.oed.com/dictionary/valiant_adj
mort,MORT,4,noun,c1330-,1330,4,borrowing,"Death, slaughter. Obsolete.",printed date range,http://www.oed.com/dictionary/mort_n1
pour,POUR,4,verb,c1330-,1330,6,borrowing,"intransitive. To gush out, flow steadily or…",printed date range,http://www.oed.com/dictionary/pour_v
Turk,TURK,4,noun,c1330-,1330,6,borrowing,"Originally: a Seljuk (Seljuk, n.) or Ottoman…",printed date range,http://www.oed.com/dictionary/turk_n1
diligence,DILIGENCE,9,noun,1340-,1340,5,borrowing,Constant and earnest effort to accomplish what is…,printed date range,http://www.oed.com/dictionary/diligence_n1
faitour,FAITOUR,7,noun,a1340-,1340,2,borrowing,"An impostor, cheat; esp. a vagrant who shams…",printed date range,http://www.oed.com/dictionary/faitour_n
glory,GLORY,5,noun,c1340-,1340,6,borrowing,"objectively. Exalted (and, in modern use…",printed date range,http://www.oed.com/dictionary/glory_n
God's penny,GODSPENNY,9,noun,1340-,1340,0,compound,A small sum paid as an initial instalment on…,printed date range,http://www.oed.com/dictionary/gods-penny_n
insuperable,INSUPERABLE,11,"adjective, noun",c1340-,1340,4,borrowing,"figurative (from A.1, A.2). Of difficulties…",printed date range,http://www.oed.com/dictionary/insuperable_adj
tumbler,TUMBLER,7,noun,a1340-,1340,4,derivative,"A drinking cup, originally having a rounded or…",printed date range,http://www.oed.com/dictionary/tumbler_n
screen,SCREEN,6,noun,1348-,1348,6,borrowing,A movable piece of furniture consisting of an…,printed date range,http://www.oed.com/dictionary/screen_n1
firstborn,FIRSTBORN,9,"noun, adjective",c1350-,1350,5,compound,With the or possessive adjective. A person who is…,printed date range,http://www.oed.com/dictionary/firstborn_n
frontal,FRONTAL,7,noun,a1350-,1350,4,borrowing,A decorative covering for the front of an altar…,printed date range,http://www.oed.com/dictionary/frontal_n1
principality,PRINCIPALITY,12,noun,c1350-,1350,5,borrowing,The territory held or governed by a prince.,printed date range,http://www.oed.com/dictionary/principality_n
divine,DIVINE,6,verb,1362-,1362,5,borrowing,To figure out or understand (something) by…,printed date range,http://www.oed.com/dictionary/divine_v
desk,DESK,4,noun,1363-,1363,6,borrowing,A piece of furniture with a surface used for…,printed date range,http://www.oed.com/dictionary/desk_n
pounce,POUNCE,6,noun,1367-,1367,3,shortening,A claw or talon of a bird of prey. Also…,printed date range,http://www.oed.com/dictionary/pounce_n1
galosh,GALOSH,6,noun,1373-,1373,4,borrowing,In later use: An over-shoe (now usually made of…,printed date range,http://www.oed.com/dictionary/galosh_n
faint,FAINT,5,verb,a1375-,1375,5,conversion,To fall into a swoon. Also with away.,printed date range,http://www.oed.com/dictionary/faint_v
engrain,ENGRAIN,7,verb,1377-,1377,4,derivative,To cause (a dye) to sink into the texture of a…,printed date range,http://www.oed.com/dictionary/engrain_v1
humble,HUMBLE,6,verb,c1380-,1380,5,conversion,transitive. To render humble or meek in spirit…,printed date range,http://www.oed.com/dictionary/humble_v1
kick,KICK,4,verb,c1380-,1380,6,unknown,intransitive. To strike out with the foot.,printed date range,http://www.oed.com/dictionary/kick_v1
mate,MATE,4,noun,c1380-,1380,6,borrowing,"A companion, fellow, comrade, friend; a fellow…",printed date range,http://www.oed.com/dictionary/mate_n2
safety,SAFETY,6,noun,c1380-,1380,6,borrowing,The state of being protected from or guarded…,printed date range,http://www.oed.com/dictionary/safety_n
commonty,COMMONTY,8,noun,a1382-,1382,2,derivative,Law (chiefly Scottish). Joint use or possession…,printed date range,http://www.oed.com/dictionary/commonty_n
desirable,DESIRABLE,9,"adjective, noun",a1382-,1382,6,borrowing,That may be desired or wanted; that is to be…,printed date range,http://www.oed.com/dictionary/desirable_adj
hand in hand,HANDINHAND,10,"adverb, noun, adjective",a1382-,1382,5,compound,"Of two people: with the hands clasped, esp. as a…",printed date range,http://www.oed.com/dictionary/hand-in-hand_adv
heady,HEADY,5,adjective,a1382-,1382,5,derivative,"Originally: (of drink) intoxicating, potent…",printed date range,http://www.oed.com/dictionary/heady_adj
providence,PROVIDENCE,10,noun,a1382-,1382,5,borrowing,"In full providence of God (also nature, etc.)…",printed date range,http://www.oed.com/dictionary/providence_n
repeat,REPEAT,6,verb,a1382-,1382,6,borrowing,transitive. To say again (something which one has…,printed date range,http://www.oed.com/dictionary/repeat_v
solemnize,SOLEMNIZE,9,verb,a1382-,1382,4,borrowing,To celebrate (a marriage) with proper ceremonies…,printed date range,http://www.oed.com/dictionary/solemnize_v
tonguey,TONGUEY,7,adjective,a1382-,1382,2,derivative,"Full of ‘tongue’ or talk; talkative, loquacious…",printed date range,http://www.oed.com/dictionary/tonguey_adj
unreverence,UNREVERENCE,11,noun,a1382-,1382,1,derivative,Lack of reverence or due respect; irreverence.,printed date range,http://www.oed.com/dictionary/unreverence_n
immunity,IMMUNITY,8,noun,c1384-,1384,6,borrowing,Medicine. The state of being insusceptible or…,printed date range,http://www.oed.com/dictionary/immunity_n
middleman,MIDDLEMAN,9,noun,c1384-,1384,5,compound,"A trader, company, etc., that handles a commodity…",printed date range,http://www.oed.com/dictionary/middleman_n
overabound,OVERABOUND,10,verb,c1384-,1384,1,derivative,intransitive. To abound too much with or in…,printed date range,http://www.oed.com/dictionary/overabound_v
salutation,SALUTATION,10,noun,c1384-,1384,5,borrowing,"The action, or an act, of saluting; a manner of…",printed date range,http://www.oed.com/dictionary/salutation_n
syllable,SYLLABLE,8,noun,c1384-,1384,5,borrowing,A vocal sound or set of sounds uttered with a…,printed date range,http://www.oed.com/dictionary/syllable_n
eternal,ETERNAL,7,"adjective, noun",c1386-,1386,6,borrowing,Infinite in future duration; that always will…,printed date range,http://www.oed.com/dictionary/eternal_adj
hostelry,HOSTELRY,8,noun,c1386-,1386,4,borrowing,A house where lodging and entertainment are…,printed date range,http://www.oed.com/dictionary/hostelry_n
carriage,CARRIAGE,8,noun,a1387-,1387,6,borrowing,Any of the separate sections of a train in which…,printed date range,http://www.oed.com/dictionary/carriage_n
embolism,EMBOLISM,8,noun,a1387-,1387,5,borrowing,Pathology. (See quot.),printed date range,http://www.oed.com/dictionary/embolism_n
gutter,GUTTER,6,verb,1387-,1387,4,conversion,intransitive. Of a candle: To melt away rapidly…,printed date range,http://www.oed.com/dictionary/gutter_v
angerness,ANGERNESS,9,noun,c1390-,1390,0,derivative,The quality or state of being angry; anger. Cf…,printed date range,http://www.oed.com/dictionary/angerness_n
exploit,EXPLOIT,7,verb,c1390-,1390,6,borrowing,transitive. To make full use of; to derive…,printed date range,http://www.oed.com/dictionary/exploit_v
gorge,GORGE,5,noun,c1390-,1390,5,borrowing,A narrow opening between hills; a ravine with…,printed date range,http://www.oed.com/dictionary/gorge_n1
mortise,MORTISE,7,noun,c1390-,1390,4,borrowing,"Woodworking and Joinery. A cavity, hole, or…",printed date range,http://www.oed.com/dictionary/mortise_n
specious,SPECIOUS,8,"adjective, noun",c1390-,1390,4,borrowing,"Of reasoning, an argument, etc.: apparently sound…",printed date range,http://www.oed.com/dictionary/specious_adj
trap,TRAP,4,verb,1390-,1390,6,conversion,"To catch in or as in a trap, entrap, ensnare.",printed date range,http://www.oed.com/dictionary/trap_v1
whoop,WHOOP,5,verb,c1390-,1390,4,borrowing,intransitive. To utter a ‘whoop!’ or a cry or…,printed date range,http://www.oed.com/dictionary/whoop_v
chip,CHIP,4,noun,a1393-,1393,6,conversion,A small piece or fragment of any relatively hard…,printed date range,http://www.oed.com/dictionary/chip_n2
discoloured,DISCOLOURED,11,adjective,a1393-,1393,4,derivative,Altered from the usual or natural colour; changed…,printed date range,http://www.oed.com/dictionary/discoloured_adj
embroidery,EMBROIDERY,10,noun,1393-,1393,5,borrowing,The art of ornamenting cloth and other fabrics…,printed date range,http://www.oed.com/dictionary/embroidery_n
shade,SHADE,5,verb,1393-,1393,5,conversion,"transitive. To screen from light or heat, to…",printed date range,http://www.oed.com/dictionary/shade_v1
striker,STRIKER,7,noun,1393-,1393,5,derivative,A workman who is ‘on strike’.,printed date range,http://www.oed.com/dictionary/striker_n
traverse,TRAVERSE,8,noun,a1393-,1393,4,borrowing,An act of travelling or journeying right through…,printed date range,http://www.oed.com/dictionary/traverse_n
causal,CAUSAL,6,"noun, adjective",a1398-,1398,6,borrowing,Of the nature of cause and effect.,printed date range,http://www.oed.com/dictionary/causal_n
clog,CLOG,4,verb,a1398-,1398,5,conversion,transitive. To fill (something) up with anything…,printed date range,http://www.oed.com/dictionary/clog_v
forked,FORKED,6,adjective,1398-,1398,4,derivative,Having a fork or fork-like end; shaped like a…,printed date range,http://www.oed.com/dictionary/forked_adj
freshness,FRESHNESS,9,noun,a1398-,1398,5,derivative,The quality or condition of being fresh (in…,printed date range,http://www.oed.com/dictionary/freshness_n
litter,LITTER,6,verb,a1398-,1398,5,conversion,"To cover as with litter, to strew with objects…",printed date range,http://www.oed.com/dictionary/litter_v
moderator,MODERATOR,9,noun,a1398-,1398,5,borrowing,A person who acts as an arbitrator between…,printed date range,http://www.oed.com/dictionary/moderator_n
Ostrogoth,OSTROGOTH,9,"noun, adjective",a1398-,1398,4,borrowing,An East Goth; spec. a member of the eastern…,printed date range,http://www.oed.com/dictionary/ostrogoth_n
rarefy,RAREFY,6,verb,a1398-,1398,4,borrowing,"transitive. To make (esp. air) thin, usually by…",printed date range,http://www.oed.com/dictionary/rarefy_v
seminal,SEMINAL,7,"adjective, noun",1398-,1398,5,borrowing,figurative. Having the properties of seed…,printed date range,http://www.oed.com/dictionary/seminal_adj
buttress,BUTTRESS,8,verb,c1400-,1400,5,conversion,"transitive. To furnish, strengthen, or stabilize…",printed date range,http://www.oed.com/dictionary/buttress_v
commonweal,COMMONWEAL,10,noun,?a1400-,1400,4,compound,Common well-being; esp. the general good…,printed date range,http://www.oed.com/dictionary/commonweal_n
courser,COURSER,7,noun,a1400-,1400,3,borrowing,A person who uses dogs (esp. greyhounds or other…,printed date range,http://www.oed.com/dictionary/courser_n2
