lemma,crossword_form,length,pos,date,first_year,band,formation,definition,evidence,url
bass,BASS,4,verb,a1616-,1616,3,conversion,To utter or proclaim with bass voice or sound.,printed date range,http://www.oed.com/dictionary/bass_v2
five-finger-tied,FIVEFINGERTIED,14,adjective,a1616-,1616,0,compound,? tied with all the fingers of the hand.,printed date range,http://www.oed.com/dictionary/five-finger-tied_adj
fleer,FLEER,5,noun,a1616-,1616,2,conversion,"A mocking look or speech; a sneer, a gibe…",printed date range,http://www.oed.com/dictionary/fleer_n2
fortune-tell,FORTUNETELL,11,verb,a1616-,1616,2,,"A back-formation from fortune-teller, n.",printed date range,http://www.oed.com/dictionary/fortune-tell_v
hipparchy,HIPPARCHY,9,noun,1616-,1616,2,borrowing,"Ancient Greek History. A unit of cavalry, spec…",printed date range,http://www.oed.com/dictionary/hipparchy_n
hobnob,HOBNOB,6,"adverb, interjection, adjective",a1616-,1616,2,variant,to drink hobnob and variants: to drink a toast…,printed date range,http://www.oed.com/dictionary/hobnob_adv
incidental,INCIDENTAL,10,"adjective, noun",1616-,1616,5,derivative,Occurring or liable to occur in fortuitous or…,printed date range,http://www.oed.com/dictionary/incidental_adj
kitchen,KITCHEN,7,verb,a1616-,1616,5,conversion,"intransitive and transitive. To prepare food, a…",printed date range,http://www.oed.com/dictionary/kitchen_v
lapse,LAPSE,5,verb,a1616-,1616,5,borrowing,"Law. Of a benefice, an estate, a right, etc.: To…",printed date range,http://www.oed.com/dictionary/lapse_v
mentalist,MENTALIST,9,"noun, adjective",1616-,1616,3,derivative,A person characterized by regard… A magician who…,printed date range,http://www.oed.com/dictionary/mentalist_n
pignut,PIGNUT,6,noun,a1616-,1616,3,compound,"The sweetish edible tuber of Conopodium majus, a…",printed date range,http://www.oed.com/dictionary/pignut_n
sacrificial,SACRIFICIAL,11,adjective,a1616-,1616,5,borrowing,Relating to or connected with sacrifice.,printed date range,http://www.oed.com/dictionary/sacrificial_adj
topping,TOPPING,7,"adjective, adverb",1616-,1616,3,derivative,colloquial (chiefly British). Of high quality…,printed date range,http://www.oed.com/dictionary/topping_adj
virgin,VIRGIN,6,verb,a1616-,1616,0,conversion,transitive with it as object. To be or behave…,printed date range,http://www.oed.com/dictionary/virgin_v
wailing robes,WAILINGROBES,12,noun,a1616-,1616,1,compound,Mourning garments.,printed date range,http://www.oed.com/dictionary/wailing-robes_n
Brownism,BROWNISM,8,noun,a1617-,1617,3,proper name,The system of church-government advocated 1581 by…,printed date range,http://www.oed.com/dictionary/brownism_n
dulically,DULICALLY,9,adverb,1617-,1617,0,derivative,By way of dulia.,printed date range,http://www.oed.com/dictionary/dulically_adv
Frederize,FREDERIZE,9,verb,1618-,1618,0,proper name,intransitive. To take the part of the Emperor…,printed date range,http://www.oed.com/dictionary/frederize_v
pipe playing,PIPEPLAYING,11,noun,a1618-,1618,2,compound,†a. The action of playing with a tobacco pipe…,printed date range,http://www.oed.com/dictionary/pipe-playing_n
punctuality,PUNCTUALITY,11,noun,1618-,1618,4,derivative,Exact observance of appointed times; the fact or…,printed date range,http://www.oed.com/dictionary/punctuality_n
stonage,STONAGE,7,noun,1618-,1618,1,derivative,Weight measured in stones.,printed date range,http://www.oed.com/dictionary/stonage_n
cardialgic,CARDIALGIC,10,adjective,1620-,1620,1,borrowing,"Of, relating to, or characterized by cardialgia…",printed date range,http://www.oed.com/dictionary/cardialgic_adj
plasm,PLASM,5,noun,1620-,1620,4,borrowing,"Biology. Protoplasm; cytoplasm; = plasma, n. 5.",printed date range,http://www.oed.com/dictionary/plasm_n
Leviticality,LEVITICALITY,12,noun,1621-,1621,0,derivative,Levitical character or obligation.,printed date range,http://www.oed.com/dictionary/leviticality_n
plant-animal,PLANTANIMAL,11,noun,1621-,1621,3,compound,An organism which has characteristics of both an…,printed date range,http://www.oed.com/dictionary/plant-animal_n
insulet,INSULET,7,noun,1622-,1622,0,borrowing,An islet.,printed date range,http://www.oed.com/dictionary/insulet_n
shanker,SHANKER,7,noun,1622-,1622,2,derivative,"One who makes, forms or finishes the shanks of…",printed date range,http://www.oed.com/dictionary/shanker_n
torturing-stock,TORTURINGSTOCK,14,noun,1622-,1622,0,compound,A person upon whom torture is inflicted.,printed date range,http://www.oed.com/dictionary/torturing-stock_n
compotant,COMPOTANT,9,noun,a1624-,1624,0,borrowing,"= compotator, n.",printed date range,http://www.oed.com/dictionary/compotant_n
gaggership,GAGGERSHIP,10,noun,1624-,1624,0,derivative,A mock title of address.,printed date range,http://www.oed.com/dictionary/gaggership_n
indistinction,INDISTINCTION,13,noun,1624-,1624,3,derivative,The fact of not distinguishing or making…,printed date range,http://www.oed.com/dictionary/indistinction_n
wine,WINE,4,verb,?1624-,1624,4,conversion,transitive. colloquial. To entertain (a person)…,printed date range,http://www.oed.com/dictionary/wine_v1
overpower,OVERPOWER,9,noun,1625-,1625,2,derivative,A superior or supreme power.,printed date range,http://www.oed.com/dictionary/overpower_n
port,PORT,4,verb,a1625-,1625,3,conversion,transitive. To bring (a ship or boat) to a port…,printed date range,http://www.oed.com/dictionary/port_v4
waistcoateer,WAISTCOATEER,12,noun,a1625-,1625,1,derivative,A person wearing a waistcoat of a specified fashion.,printed date range,http://www.oed.com/dictionary/waistcoateer_n
divelination,DIVELINATION,12,noun,a1626-,1626,0,blend,Divination by aid of the devil.,printed date range,http://www.oed.com/dictionary/divelination_n
vanquash,VANQUASH,8,verb,c1626-,1626,0,compound,transitive. To smash.,printed date range,http://www.oed.com/dictionary/vanquash_v
freshwoman,FRESHWOMAN,10,noun,a1627-,1627,2,compound,A female student in her first year at a…,printed date range,http://www.oed.com/dictionary/freshwoman_n
ganderous,GANDEROUS,9,adjective,1630-,1630,0,derivative,Pertaining to a gander.,printed date range,http://www.oed.com/dictionary/ganderous_adj
derelict,DERELICT,8,verb,a1631-,1631,3,borrowing,figurative. To fail to keep or observe; to fall…,printed date range,http://www.oed.com/dictionary/derelict_v
metatheology,METATHEOLOGY,12,noun,a1631-,1631,2,derivative,The philosophical study of the nature and methods…,printed date range,http://www.oed.com/dictionary/metatheology_n
moon time,MOONTIME,8,noun,1632-,1632,0,compound,The time at which menstruation occurs; a…,printed date range,http://www.oed.com/dictionary/moon-time_n
tremendous,TREMENDOUS,10,adjective,1632-,1632,6,borrowing,"Hyperbolically, or as a mere intensive: Such as…",printed date range,http://www.oed.com/dictionary/tremendous_adj
dumple,DUMPLE,6,verb,1633-,1633,2,backformation,To bend or compress into a dumpy shape.,printed date range,http://www.oed.com/dictionary/dumple_v
vandyking,VANDYKING,9,noun,1633-,1633,1,derivative,concrete. Vandyked material; work shaped in…,printed date range,http://www.oed.com/dictionary/vandyking_n
skunk,SKUNK,5,noun,1634-,1634,4,borrowing,"A weasel-like mammal of North America, Mephitis…",printed date range,http://www.oed.com/dictionary/skunk_n
dulian,DULIAN,6,adjective,1635-,1635,0,derivative,Pertaining to dulia.,printed date range,http://www.oed.com/dictionary/dulian_adj
essence,ESSENCE,7,verb,1635-,1635,3,conversion,transitive. To compress the essence of (a book) into.,printed date range,http://www.oed.com/dictionary/essence_v
hobby-horse,HOBBYHORSE,10,verb,1636-,1636,0,conversion,intransitive. To move in a way which is…,printed date range,http://www.oed.com/dictionary/hobby-horse_v
shameface,SHAMEFACE,9,noun,1636-,1636,1,compound,A bashful aspect.,printed date range,http://www.oed.com/dictionary/shameface_n
flameship,FLAMESHIP,9,noun,a1637-,1637,0,derivative,The personality or dignity of (the god of) flame.,printed date range,http://www.oed.com/dictionary/flameship_n
