LEMMA,PART OF SPEECH,DATE OF USE,FREQUENCY BAND NUMBER,DEFINITION,TYPE OF FORMATION,LANGUAGE OF ORIGIN,USAGE,OBSOLESCENCE,REGIONAL ENGLISH,SUBJECT,DOI,OED URL
wilderness,noun,c1200-,5,(With article or other defining word) A wild or…,derivative,,,In current use,,,https://doi.org/10.1093/OED/1091941723,http://www.oed.com/dictionary/wilderness_n
lusty,adjective,a1225-,4,Full of healthy vigour. Of persons and animals…,derivative,,archaic,In current use,,,https://doi.org/10.1093/OED/4138006922,http://www.oed.com/dictionary/lusty_adj
chapel,noun,c1225-,5,Originally: any place for Christian worship other…,borrowing,,historical,In current use,,religion and belief/religion,https://doi.org/10.1093/OED/2043287039,http://www.oed.com/dictionary/chapel_n
cross,noun,c1225-,6,"Any object, figure, or mark formed by two or more…",borrowing,,,In current use,,,https://doi.org/10.1093/OED/7129908121,http://www.oed.com/dictionary/cross_n
hardy,verb,c1225-,2,transitive. To make hardy or robust; (also) to…,conversion,,,In current use,,,https://doi.org/10.1093/OED/9142120977,http://www.oed.com/dictionary/hardy_v
ladyship,noun,c1225-,4,Chiefly with possessive adjective: a title of…,derivative,,,In current use,,,https://doi.org/10.1093/OED/3677123832,http://www.oed.com/dictionary/ladyship_n
meekship,noun,c1225-,0,As a mock title for a (supposedly) meek person…,derivative,,,In current use,,,https://doi.org/10.1093/OED/6531887884,http://www.oed.com/dictionary/meekship_n
chapter,noun,?c1225-,7,A main division or section of a book or (later) a…,borrowing,,,In current use,,,https://doi.org/10.1093/OED/8367623663,http://www.oed.com/dictionary/chapter_n
figure,noun,?c1225-,7,A numerical character or symbol; esp. any of the…,borrowing,,,In current use,,,https://doi.org/10.1093/OED/1150219498,http://www.oed.com/dictionary/figure_n
matter,noun,?c1225-,7,"An event, circumstance, fact, question, state or…",borrowing,,,In current use,,,https://doi.org/10.1093/OED/9187669168,http://www.oed.com/dictionary/matter_n1
sacre,verb,?c1225-1976,0,"transitive. To consecrate (the elements, or the…",borrowing,,,Not in use,,religion and belief/religion/Christianity/liturgical,https://doi.org/10.1093/OED/6294252842,http://www.oed.com/dictionary/sacre_v1
standing,noun,?c1225-,5,"High esteem, rank, or status. Later (also) more…",derivative,,,In current use,,,https://doi.org/10.1093/OED/6656375873,http://www.oed.com/dictionary/standing_n1
windmill,"noun, adjective",c1230-,5,A structure that harnesses the power of the wind…,compound,,,In current use,,,https://doi.org/10.1093/OED/1863665613,http://www.oed.com/dictionary/windmill_n
creant,adjective,a1250-1833,0,"In phrases to yield oneself creant, to cry (or…",borrowing,,,Not in use,,,https://doi.org/10.1093/OED/6556374516,http://www.oed.com/dictionary/creant_adj1
stump,verb,c1250-,4,(Originally U.S.) To cause to be at a loss; to…,conversion,,,In current use,,,https://doi.org/10.1093/OED/2251591701,http://www.oed.com/dictionary/stump_v1
